feature_index,importance
678,0.0005184136179048495
719,0.0005171490079290855
42,0.000513138965889197
120,0.0005041990305058249
761,0.0004994163821138646
287,0.0004983230628030854
687,0.0004829196362275544
325,0.0004818208123894864
70,0.00048029814537170224
769,0.0004788933924725216
621,0.00047801348310733306
51,0.00047734764231390436
92,0.00047440806272133307
403,0.00047101699294054624
230,0.000457786608191709
158,0.00045737438954722507
611,0.000455551139869568
597,0.00045435969709942744
314,0.0004541929120985149
560,0.0004514623975038336
154,0.00044879125661538246
56,0.0004474106133813289
548,0.0004390739862515178
635,0.000436485388168852
468,0.0004332673439393997
821,0.000428910935848948
53,0.0004274059183023332
358,0.000426347643907556
293,0.00042260270098953904
69,0.00042050783555957187
624,0.00042047092040021036
114,0.00041959121623290596
766,0.00041846768510046833
613,0.0004176998892788446
528,0.00041558039883291784
165,0.0004136178772340515
543,0.00040851773256443306
160,0.00040472111333642995
8,0.00040100061515865393
768,0.0003979803188781505
48,0.00039701763609924765
327,0.00039102580231764383
318,0.00038817442159164964
456,0.0003870612694775327
679,0.000386325747096023
467,0.00038028473023497925
596,0.0003801098017411224
633,0.0003793208438609854
321,0.0003768163138835085
471,0.00037522125819226213
296,0.00037453329105678834
96,0.0003736248538667006
44,0.00036564578679173344
475,0.00036563015810868953
130,0.0003625962775477854
254,0.0003624066775430664
116,0.0003617723874514317
535,0.00036163201670217797
128,0.00036110243925795594
68,0.00035505867147115684
702,0.00035247867614073675
712,0.00035033196981485896
311,0.0003500767125836697
520,0.0003485959967481205
260,0.0003479655079124751
812,0.00034665117686256486
233,0.0003437410213758047
767,0.0003435083015474374
322,0.0003433195109509251
50,0.00034148960803589604
138,0.00034141999798295
400,0.0003406650302399593
316,0.00034031014502515895
814,0.00033694691565581356
831,0.000336200690428012
88,0.0003350637992338889
453,0.00033488429286239495
64,0.00033467409341014797
410,0.00033439108564951316
439,0.00033355650465151593
76,0.0003313878554323444
106,0.0003277542686848686
709,0.00032015086205217157
594,0.00031874111374272064
270,0.0003184515687404292
303,0.00031721305029216843
566,0.00031449566319942884
452,0.00031432837134807594
380,0.00031385781032900806
472,0.0003117824484582518
570,0.0003107392650734144
313,0.0003102368791395542
437,0.0003087756824820368
567,0.0003082928050522366
117,0.00030728811614685344
